Team,Model,Accuracy,F1-Score
Unterhaching,Neural Network,0.8238095238095238,0.8995337995337994
Wattenscheid,Logistic Regression,0.6499999999999999,0.7847619047619047
Wattenscheid,Decision Tree,0.6499999999999999,0.7847619047619047
Wattenscheid,Random Forest,0.6499999999999999,0.7847619047619047
Wattenscheid,SVM,0.6499999999999999,0.7847619047619047
Wattenscheid,Neural Network,0.6499999999999999,0.7847619047619047
Werder Bremen,Logistic Regression,0.7820864790665751,0.8587691078916423
Werder Bremen,Decision Tree,0.6686341798215512,0.7560855519387345
Werder Bremen,Random Forest,0.7196293754289635,0.8053610737387616
Werder Bremen,SVM,0.8247769389155799,0.8854672511762324
Werder Bremen,Neural Network,0.7603980782429649,0.8380243174978128
Wolfsburg,Logistic Regression,0.7944061962134251,0.8658567817462833
Wolfsburg,Decision Tree,0.7225186460126218,0.8034008357441337
Wolfsburg,Random Forest,0.8111015490533562,0.8757554916719513
Wolfsburg,SVM,0.8110154905335628,0.8739481872282049
Wolfsburg,Neural Network,0.7678714859437751,0.842928985885214
