FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Kaiserslautern,away_Augsburg,away_Bayern Munich,away_Bielefeld,away_Bochum,away_Cottbus,away_Dortmund,away_Dresden,away_Duisburg,away_Dusseldorf,away_Ein Frankfurt,away_FC Koln,away_Freiburg,away_Hamburg,away_Hannover,away_Hansa Rostock,away_Hertha,away_Hoffenheim,away_Karlsruhe,away_Leipzig,away_Leverkusen,away_M'Gladbach,away_M'gladbach,away_Mainz,away_Munich 1860,away_Nurnberg,away_Schalke 04,away_St Pauli,away_Stuttgart,away_Uerdingen,away_Ulm,away_Unterhaching,away_Wattenscheid,away_Werder Bremen,away_Wolfsburg
1.0,0.0,0.0,1.0,27,14,0,0,8,6,18,21,1,1,0,0,03-04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,2.0,0.0,22,12,0,0,7,1,24,30,3,2,0,0,03-04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,11,21,0,0,1,6,25,16,3,2,0,0,03-04,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,1.0,1.0,36,11,0,0,5,2,26,30,3,3,0,1,03-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,14,24,0,0,10,8,24,21,3,2,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,2.0,1.0,1.0,10,18,0,0,2,5,26,13,3,0,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1.0,0.0,1.0,14,16,0,0,4,5,25,28,3,5,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,13,11,0,0,6,5,21,23,2,4,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,14,16,0,0,7,3,25,18,2,0,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,25,16,0,0,9,3,28,15,2,2,0,0,04-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,15,18,0,0,5,7,14,25,1,2,0,0,04-05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,16,9,0,0,3,6,26,23,0,1,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,19,19,0,0,4,2,22,13,2,4,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,4,14,0,0,0,8,24,18,4,4,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,11,12,0,0,3,1,24,18,0,3,0,1,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,15,13,0,0,6,4,23,17,4,5,0,1,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,0.0,1.0,17,17,0,0,3,5,23,19,1,1,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,18,8,0,0,8,1,21,19,2,2,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,24,15,0,0,9,9,20,18,2,4,0,0,04-05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,2.0,0.0,9,19,0,0,3,11,19,15,4,1,0,0,04-05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,2.0,0.0,5,22,0,0,4,6,24,19,0,2,0,0,04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,2.0,1.0,1.0,28,11,0,0,4,3,21,15,3,3,0,0,05-06,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,3.0,0.0,12,18,0,0,2,6,16,15,1,3,0,0,05-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,1.0,0.0,9,14,0,0,8,4,27,24,3,1,1,0,05-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,10,17,0,0,2,6,13,19,2,1,1,0,05-06,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,3.0,0.0,16,21,0,0,7,5,19,12,2,2,0,0,05-06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
